,name,total.pop,white,black,hispanic,asian
1,"alabama,autauga",54571,77.2,19.3,2.4,0.9
2,"alabama,baldwin",182265,83.5,10.9,4.4,0.7
3,"alabama,barbour",27457,46.8,47.8,5.1,0.4
4,"alabama,bibb",22915,75,22.9,1.8,0.1
5,"alabama,blount",57322,88.9,2.5,8.1,0.2
6,"alabama,bullock",10914,21.9,71,7.1,0.2
7,"alabama,butler",20947,54.1,44.2,0.9,0.8
8,"alabama,calhoun",118572,73.6,22.2,3.3,0.7
9,"alabama,chambers",34215,58.1,39.9,1.6,0.5
10,"alabama,cherokee",25989,92.1,6.1,1.2,0.2
11,"alabama,chilton",43643,81.1,10.9,7.8,0.3
12,"alabama,choctaw",13859,55.6,43.8,0.5,0.1
13,"alabama,clarke",25833,54,44.6,1,0.3
14,"alabama,clay",13932,80.3,16.5,2.9,0.2
15,"alabama,cleburne",14972,93.2,4.4,2.1,0.2
16,"alabama,coffee",49948,72.3,19.2,6.4,1.3
17,"alabama,colbert",54428,79.6,17.7,2,0.4
18,"alabama,conecuh",13228,51.1,47.5,1.2,0.1
19,"alabama,coosa",11539,65.9,31.9,2,0.1
20,"alabama,covington",37765,84.1,13.9,1.3,0.4
21,"alabama,crenshaw",13906,72.1,24.9,1.5,1.4
22,"alabama,cullman",80406,92.7,2.2,4.3,0.4
23,"alabama,dale",50251,71.1,22.3,5.6,1.1
24,"alabama,dallas",43820,28.9,70.1,0.7,0.3
25,"alabama,de kalb",NA,NA,NA,NA,NA
26,"alabama,elmore",79303,75,21.5,2.7,0.7
27,"alabama,escambia",38319,61.3,33.4,1.9,0.2
28,"alabama,etowah",104430,79.3,16.6,3.3,0.6
29,"alabama,fayette",17241,86,12.4,1.2,0.2
30,"alabama,franklin",31704,79.6,5.5,14.9,0.2
31,"alabama,geneva",26790,84.7,11,3.4,0.3
32,"alabama,greene",9045,17.3,82,0.8,0.2
33,"alabama,hale",15760,39.4,59.6,0.9,0.2
34,"alabama,henry",17302,67.8,29.6,2.2,0.3
35,"alabama,houston",101547,68.7,27.5,2.9,0.8
36,"alabama,jackson",53227,90.1,5.9,2.5,0.3
37,"alabama,jefferson",658466,51.7,43.1,3.9,1.4
38,"alabama,lamar",14564,86.1,12.5,1.2,0
39,"alabama,lauderdale",92709,85.5,11.4,2.2,0.7
40,"alabama,lawrence",34339,76.9,15.8,1.7,0.1
41,"alabama,lee",140247,69.8,24.4,3.3,2.6
42,"alabama,limestone",82782,78.7,14.4,5.5,1.1
43,"alabama,lowndes",11299,25.1,74.1,0.8,0.1
44,"alabama,macon",21452,15.2,83.7,1.1,0.4
45,"alabama,madison",334811,66.1,26.5,4.6,2.5
46,"alabama,marengo",21027,45.7,52.5,1.7,0.3
47,"alabama,marion",30776,92.6,5,2.1,0.2
48,"alabama,marshall",93019,83.9,3.3,12.1,0.5
49,"alabama,mobile",412992,59.1,36.1,2.4,1.8
50,"alabama,monroe",23068,54.7,43.1,1,0.3
51,"alabama,montgomery",229363,38.4,56,3.6,2.1
52,"alabama,morgan",119490,77.5,13.8,7.7,0.6
53,"alabama,perry",10591,29.7,69.1,1.1,0.3
54,"alabama,pickens",19746,55.8,42.8,1.6,0.2
55,"alabama,pike",32899,57.4,38.1,2.2,2
56,"alabama,randolph",22913,75.4,21.2,2.8,0.2
57,"alabama,russell",52947,52.1,43.9,3.7,0.4
59,"alabama,st clair",83593,87.3,9.9,2.1,0.6
58,"alabama,shelby",195085,80.2,12,5.9,1.9
